Term,ICD_clean
422527005: Refractory infantile spasms,G40.821
"431111000124104: Lennox-Gastaut syndrome, refractory",G40.821
778063003: Cryptogenic late-onset epileptic spasms,G40.829
723437000: Infantile spasm,G40.83
"432171000124102: Severe myoclonic epilepsy in infancy, refractory",G40.831
"432031000124101: Infantile spasms, non-refractory",G40.839
28055006: West syndrome,G40.849
230434009: Seizures in response to acute event,G40.849
111541001: Benign paroxysmal positional vertigo,G40.89
128613002: Seizure disorder,G40.9
19598007: Generalized epilepsy,G40.9
246545002: Generalized seizure,G40.9
313307000: Epileptic seizure,G40.9
4303: Seizure disorder (epilepsy),G40.9
445355009: Refractory epilepsy,G40.9
77450009: Unclassified epileptic seizures,G40.9
84757009: Epilepsy,G40.9
91175000: Seizure,G40.9
160341008: FH: Epilepsy,G40.9
370994008: Seizure free,G40.9
57935008: Epileptic aura,G40.9
225931003: At risk of epileptic fits,G40.9
314828009: Epilepsy control poor,G40.90
230390002: Localization-related symptomatic epilepsy,G40.909
277130004: Seizure undetermined whether focal or generalized,G40.909
407621003: Daily seizures,G40.909
43400009: EEG abnormality with seizure,G40.909
703151001: History of single seizure,G40.909
161480008: H/O: epilepsy,G40-G41
432354000: Simple febrile seizure,G41.0
443410001: Childhood seizure,G41.0
290721000119108: Status epilepticus due to refractory epilepsy,G41.01
"432271000124109: Tonic seizures, refractory",G41.1
162310002: Morning headache,G43
37796009: Migraine,G43
4307: Migraines,G43
161481007: H/O: migraine,G43
230467008: Status migrainosus,G43.009
230465000: Migraine aura without headache,G43.1
4473006: Migraine with aura,G43.1
95655001: Ophthalmic migraine,G43.1
423683008: Refractory migraine with aura,G43.19
427419006: Transformed migraine,G43.2
423279000: Refractory migraine without aura,G43.709
431601000124105: Chronic migraine without aura,G43.709
"437931000124100: Chronic migraine without aura, non-refractory",G43.709
193039006: Complicated migraine,G43.709
124171000119105: Chronic intractable migraine without aura,G43.711
193030005: Migraine variants,G43.803
23186000: Menstrual migraine,G43.804
445322004: Migraine variant with headache,G43.805
230314007: Sandifer syndrome,G43.809
83351003: Basilar migraine,G43.819
699314009: Migraine with persistent visual aura,G43.9
"425007008: Migraine without aura, not refractory",G43.909
56097005: Migraine without aura,G43.909
458241000124102: Chronic daily headache,G44.00
95657009: Chronic mixed headache syndrome,G44.009
279016001: Cervicogenic headache,G44.2
431237007: Chronic headache disorder,G44.2
230461009: Headache disorder,G44.2
25064002: Headache,G44.201
230470007: Episodic tension-type headache,G44.209
230471006: Chronic tension-type headache,G44.209
398057008: Tension-type headache,G44.209
54012000: Posttraumatic headache,G44.311
230477005: Chronic post-traumatic headache,G44.321
698803006: Medication overuse headache,G44.42
75879005: Abdominal migraine,G44.819
95668009: Pain in face,G44.82
121021000119105: New daily persistent headache,G44.84
230481005: Idiopathic stabbing headache,G44.849
41510006: Anoxic seizure,G45.0
8023: Transient ischemic event,G45.9
194439006: Disorder of excessive somnolence,G47.00
194439006: Disorders of excessive somnolence,G47.00
26677001: Sleep pattern disturbance,G47.00
301345002: Difficulty sleeping,G47.00
314938000: Poor sleep pattern,G47.00
3972004: Primary insomnia,G47.00
401175000: Sleep pattern,G47.00
443483005: Inadequate sleep hygiene,G47.00
4681000119100: Sleep disturbance in infancy,G47.00
54230003: Mixed insomnia,G47.00
724748004: Chronic insomnia,G47.00
141000119100: Daytime somnolence,G47.00
31771000119102: Daytime hypersomnia,G47.01
401161007: Delayed onset of sleep,G47.01
230489007: Excessive daytime sleepiness - normal night sleep,G47.01
230488004: Hypersomnia of non-organic origin,G47.10
36124002: Primary hypersomnia,G47.10
3731000119107: Idiopathic hypersomnia,G47.10
442416002: Idiopathic hypersomnia associated with long sleep time,G47.10
77692006: Hypersomnia,G47.10
191999000: Persistent hypersomnia,G47.11
426451004: Recurrent hypersomnia,G47.12
67233009: Middle insomnia,G47.14
15976004: Abnormal circadian rhythm,G47.20
230496009: Non-24 hour sleep-wake cycle,G47.21
271793004: Irregular sleep-wake pattern,G47.21
271794005: Disorder of sleep-wake cycle,G47.21
"31537005: Sleep-wake schedule disorder, advanced phase type",G47.21
"28011000119104: Sleep wake schedule disorder, delayed phase type",G47.22
"80623000: Sleep-wake schedule disorder, delayed phase type",G47.22
31491000119109: Disruptions of 24 hour sleep-wake cycle,G47.23
3745000: Sleep-wake schedule disorder,G47.23
413638006: Benign neonatal sleep myoclonus,G47.3
1091000119108: Obstructive sleep apnea of child,G47.30
230490003: Excessive day and night-time sleepiness,G47.30
288581000119102: Sleep related hypoxemia,G47.30
73430006: Sleep apnea,G47.30
361208003: Primary sleep apnea of newborn,G47.30
27405005: Central sleep apnea syndrome,G47.31
416945002: Recurrent apnea,G47.31
429266002: Sleep-related groaning,G47.31
46263000: Cataplexy,G47.31
85721000119105: Central sleep apnea due to periodic breathing,G47.31
1101000119103: Obstructive sleep apnea of adult,G47.33
111489007: Breathing-related sleep disorder,G47.33
230493001: Mixed sleep apnea,G47.33
230499002: Sleep-related respiratory failure,G47.33
31515003: Hypoventilation,G47.33
4297: Obstructive sleep apnea (Sleep disordered breathing),G47.33
443760008: Sleep hypoventilation,G47.33
60554003: Polysomnography,G47.33
78275009: Obstructive sleep apnea syndrome,G47.33
24825006: Central alveolar hypoventilation syndrome,G47.35
89911000119102: Sleep related hypoventilation or hypoxemia,G47.36
408418009: Upper airway resistance syndrome,G47.37
4266: Hypoventilation syndrome (alveolar hypoventilation disorder),G47.37
441910000: Idiopathic sleep related non-obstructive alveolar hypoventilation,G47.39
193042000: Cataplexy and narcolepsy,G47.4
277180005: Sleep paralysis,G47.4
60380001: Narcolepsy,G47.4
230491004: Postviral excessive daytime sleepiness,G47.41
"288101000119104: Behavioral insomnia of childhood, sleep onset association type",G47.41
91521000119104: Narcolepsy without cataplexy,G47.411
89675003: Sleep terror disorder,G47.51
36321004: Sleeptalking,G47.52
441830002: Confusional arousal disorder,G47.53
426824009: Sleep-onset association disorder,G47.60
84991000119105: Sleep related movement disorder,G47.60
430893009: Sleep related rhythmic movement disorder,G47.61
445140006: Periodic leg movements of sleep,G47.61
274950005: Sleep-related bruxism,G47.63
12262002: Restless sleep,G47.8
441976002: Organic parasomnia,G47.8
58690002: Parasomnia,G47.8
111488004: Kleine-Levin syndrome,G47.8
443664006: Long sleeper syndrome,G47.8
39898005: Sleep disorder,G47.9
418955009: Organic sleep disorder,G47.9
419145002: Nightmares,G47.9
4398: Sleep disorder,G47.9
44186003: Dyssomnia,G47.9
53888004: Disturbance in sleep behavior,G47.9
118190003: Sleep finding,G47.9
248262001: Always sleepy,G47.9
230537000: Idiopathic trigeminal neuralgia,G50.0
193093009: Bell's palsy,G51.0
280816001: Facial palsy,G51.0
95666008: Weakness of face muscles,G51.0
106152006: Second cranial nerve finding,G52.0
71760005: Cervico-occipital neuralgia,G52.1
128210009: Thoracic outlet syndrome,G54.0
247381009: Limb stump pain,G54.6
57406009: Carpal tunnel syndrome,G56.00
12265501000119101: Bilateral carpal tunnel syndrome,G56.02
359837005: Ulnar neuropathy,G56.2
"50642008: Complex regional pain syndrome, type I",G56.4
44077006: Numbness,G57.00
302226006: Peripheral nerve disease,G58.9
"398040009: Charcot-Marie-Tooth disease, type I",G60.0
"40632002: Charcot-Marie-Tooth disease, type IA",G60.0
64855000: Pelizaeus-Merzbacher disease,G60.0
398100001: Hereditary motor and sensory neuropathy,G60.0
128209004: Chronic inflammatory demyelinating polyradiculoneuropathy,G61.81
128078004: Polyradiculoneuropathy,G61.89
386033004: Neuropathy,G62.9
42345000: Polyneuropathy,G62.9
95662005: Sensory neuropathy,G62.9
91637004: Myasthenia gravis,G70.0
111508004: Emery-Dreifuss muscular dystrophy,G71.0
4120: Becker muscular dystrophy,G71.0
4121: Duchenne muscular dystrophy,G71.0
4123: Limb-girdle muscular dystrophy,G71.0
4152: Myopathy or muscular dystrophy,G71.0
725907002: Autosomal recessive limb girdle muscular dystrophy type 2Y,G71.0
73297009: Muscular dystrophy,G71.0
111503008: Merosin deficient congenital muscular dystrophy,G71.0
387732009: Becker muscular dystrophy,G71.0
76670001: Duchenne muscular dystrophy,G71.0
240059009: Congenital muscular dystrophy,G71.00
4122: Emery-Dreifuss muscular dystrophy,G71.1
3434004: Myotonia,G71.11
4124: Myotonic muscular dystrophy,G71.11
41574007: Paramyotonia congenita,G71.11
77956009: Steinert myotonic dystrophy syndrome,G71.11
4141: Myofibrillar Myopathy,G71.12
240062007: Ullrich congenital muscular dystrophy,G71.2
240084007: Congenital myopathy with fiber type disproportion,G71.2
240096000: Mitochondrial cytopathy,G71.2
4118: Nemaline myopathy,G71.2
43152001: Central core disease,G71.2
55133004: Multi-core congenital myopathy,G71.2
75072002: Nemaline myopathy,G71.2
16851005: Mitochondrial myopathy,G71.3
4119: LAMA2 (Merosin-deficient) muscular dystrophy,G71.3
4111: Neuromuscular disease,G71.9
4155: Muscular weakness,G72.0
416830008: Muscle spasticity of spinal origin,G72.1
225609009: Stiff legs,G72.3
406146007: Asymmetric muscle tone,G72.3
289725009: Hypertonic contractions,G72.3
249939004: Proximal muscle weakness,G72.81
249937002: Truncal muscle weakness,G72.81
443819006: Critical illness myopathy,G72.89
4154: Skeletal myopathy,G72.9
699281009: Focal motor weakness,G72.9
48721008: Tetraplegic cerebral palsy,G80.0
192965001: Spastic tetraplegia,G80.1
230773005: Spastic cerebral palsy,G80.1
281411007: Spastic diplegia,G80.1
371119007: Quadriplegic spastic cerebral palsy,G80.1
54099005: Diplegia of upper limbs,G80.1
58193001: Diplegic cerebral palsy,G80.1
702315006: Dystonic cerebral palsy,G80.1
702319000: Bilateral cerebral palsy,G80.1
723157009: Spastic diplegia of upper limbs,G80.1
230780007: Dyskinetic cerebral palsy,G80.3
43486001: Hemiplegic cerebral palsy,G80.3
75019001: Athetoid cerebral palsy,G80.3
192958009: Hypotonic cerebral palsy,G80.4
230781006: Dystonic/rigid cerebral palsy,G80.4
128188000: Cerebral palsy,G80.9
4302: Cerebral palsy,G80.9
4386: Motor skills disorder,G80.9
702318008: Mixed cerebral palsy,G80.9
228148009: Fine motor impairment,G80.9
50582007: Hemiplegia,G81.0
278284007: Right hemiplegia,G81.1
397790002: Spasticity,G81.9
441722007: Spastic hemiplegia of nondominant side,G81.9
278287000: Left hemiparesis,G81.9
278285008: Left hemiplegia,G81.90
441991000: Hemiparesis as late effect of cerebrovascular accident,G81.95
20022000: Hemiparesis,G81.99
11538006: Tetraplegia,G82.0
1845001: Paraparesis,G82.1
102568007: Paresis of lower extremity,G82.2
192966000: Flaccid paraplegia,G82.2
441794001: Incomplete tetraplegia due to lesion at C5-C7 level,G82.2
91327001: Tetraparesis,G82.2
298282001: Spastic tetraparesis,G82.20
60389000: Paraplegia,G82.20
84455002: Spinal paraplegia,G82.20
698293005: Acute flaccid paralysis,G83.0
249945007: Monoparesis - leg,G83.1
250016005: Crouch gait,G83.4
35828005: Malacia,G83.4
13028004: Abnormal nervous system function,G83.9
44695005: Paralysis,G83.9
247398009: Neuropathic pain,G89.0
107401000119105: Acute postoperative pain,G89.18
213299007: Postoperative pain,G89.18
735935009: Chronic pain due to malignant neoplastic disease,G89.2
82423001: Chronic pain,G89.29
3943: Preoperative neurological deficit,G89.3
373621006: Chronic pain syndrome,G89.4
277879009: Autonomic neuropathy,G90.0
248229009: Vasovagal symptom,G90.01
84438001: Pure autonomic failure,G90.09
86489003: Idiopathic peripheral autonomic neuropathy,G90.09
4357: Horners,G90.2
19557000: Hyperexplexia,G90.8
15241006: Disorder of autonomic nervous system,G90.9
7022: Postural orthostatic tachycardia,G90.9
128123007: Disorder of peripheral autonomic nervous system,G90.9
129618003: Autonomic dysreflexia,G90.9
15139001: Chronic brain-hydrocephalus syndrome,G91.0
271569006: Communicating hydrocephalus,G91.0
4113009: Arrested hydrocephalus,G91.0
82346000: Acquired obstructive hydrocephalus,G91.0
230753000: Hydrocephalus due to cerebrospinal fluid overproduction,G91.1
4088009: Acquired hydrocephalus,G91.1
253132009: External hydrocephalus,G91.2
447033006: Vagal nerve stimulator,G91.20
230746009: Obstructive hydrocephalus,G91.3
230745008: Hydrocephalus,G91.9
"4308: Hydrocephalus (hydrocephaly, ventriculomegaly)",G91.9
253162003: Cerebral arachnoid cyst,G93.0
40720005: Cerebral cyst,G93.0
"4350: Central nervous system problem, acquired",G93.0
33595009: Arachnoid cyst,G93.0
126944002: Brain damage due to hypoxia,G93.1
126944002: Hypoxic-ischemic brain injury,G93.1
389098007: Anoxic encephalopathy,G93.1
389101006: Anoxic-ischemic encephalopathy,G93.1
429271000124103: Chronic hypoxic-ischemic brain injury,G93.1
4313: Hypoxic-ischemic encephalopathy,G93.1
703305006: Hypoxic ischemic encephalopathy due to cardiac arrest,G93.1
703300001: Hypoxic ischemic encephalopathy,G93.1
278849000: Cerebral atrophy,G93.2
444879009: Stenosis of foramen magnum,G93.2
68267002: Benign intracranial hypertension,G93.2
38837006: Acquired porencephaly,G93.2
271719001: Raised intracranial pressure,G93.2
237722004: Empty sella syndrome,G93.2
51771007: Postviral fatigue syndrome,G93.3
52702003: Chronic fatigue syndrome,G93.3
129606007: Frontal lobe syndrome,G93.4
14247003: Cerebral hemispherectomy,G93.4
17944005: Cerebral calcification,G93.4
4316: Encephalopathy,G93.40
68574006: Cortical blindness,G93.405
58762006: Encephalomalacia,G93.6
713861002: Subdural effusion,G93.6
22811006: Leukoencephalopathy,G93.9
111496009: Syringomyelia,G95.0
253164002: Intradural spinal arachnoid cyst,G95.0
75797008: Syrinx,G95.0
11197005: Hydromyelia,G95.0
33772003: Myelomalacia,G95.19
71286001: Spinal cord compression,G95.19
316841006: Tabes dorsalis,G95.2
230744007: Cerebrospinal fluid leak,G96.0
3450: Shunt occlusion,G97.0
"6890: Spinal puncture, lumbar",G97.0
8068: Postoperative new onset seizures,G97.01
"4376: Neurologic deficit, post cardiac surgery, persistent at discharge",G97.81
4369: Neurologic disorder,G98.9
25816005: Brain stem compression,G99.2
65260001: Cervical spondylosis with myelopathy,G99.2
5631002: Abnormal gastric motility,K31.84
"4892: Ophthalmic (eye, ocular) disorder",H00
397513003: Hordeolum,H00.0
1489008: External hordeolum,H00.00
334181000119104: Hordeolum externum of lower eyelid of right eye,H00.01
45177002: Swelling of structure of eye,H00.019
1482004: Chalazion,H00.1
700260002: Chalazion of lower eyelid,H00.1
700266008: Chalazion of upper eyelid,H00.1
18628002: Discharge of eye,H00.9
41446000: Blepharitis,H01.0
26399002: Ocular albinism,H01.00
268163008: Congenital ptosis,H02.03
33168009: Entropion,H02.109
15927221000119106: Lesion of left eyelid,H02.11
11934000: Ptosis of eyelid,H02.40
417740005: Nocturnal lagophthalmos,H02.413
60735000: Lagophthalmos,H02.45
301991004: Eye closing finding,H02.83
3585009: Blinking,H02.83
699377006: Twitching eyes,H02.833
162290004: Dry eyes,H04.123
246679005: Discharge from eye,H04.129
231841004: Stenosis of nasolacrimal duct,H04.2
314022009: Obstruction of nasolacrimal duct,H04.2
85042000: Epiphora due to insufficient drainage,H04.2
95767006: Disorder of nasolacrimal duct,H04.2
416920000: Obstruction of lacrimal canaliculus,H04.3
314864005: Functional nasolacrimal duct obstruction,H04.33
416270005: Lacrimal system finding,H04.5
231839000: Complete obstruction of lacrimal canaliculus,H04.531
193982009: Epiphora,H04.543
314516007: Preseptal cellulitis,H05.00
18265008: Exophthalmos,H05.20
424449000: Serous conjunctival discharge,H10.00
336581000119102: Acute conjunctivitis of right eye,H10.01
414463005: Immune-mediated conjunctivitis,H10.029
231855007: Seasonal allergic conjunctivitis,H10.1
26045000: Chronic allergic conjunctivitis,H10.1
67678004: Acute atopic conjunctivitis,H10.1
15680481000119104: Conjunctivitis of bilateral eyes caused by virus,H10.3
12236121000119103: Bilateral conjunctivitis,H10.34
15680481000119104: Bilateral viral conjunctivitis,H10.42
68659002: Blepharoconjunctivitis,H10.5
128350005: Bacterial conjunctivitis,H10.9
45261009: Viral conjunctivitis,H10.9
473460002: Allergic conjunctivitis,H10.9
74776002: Itching of eye,H10.9
75705005: Red eye,H10.9
9826008: Conjunctivitis,H10.9
679401000119109: Scar of conjunctiva of right eye,H11.10
255006004: Nevus of conjunctiva,H11.3
254679001: Milia,H110
231893002: Bacterial corneal ulcer,H16.021
14366000: Exposure keratoconjunctivitis,H16.111
246622003: Eyes sensitive to light,H16.26
231901007: Neuropathic corneal ulcer,H16.309
5888003: Keratitis,H16.9
64634000: Corneal opacity,H17.9
95735008: Clouding of corneal stroma,H17.9
35055000: Band-shaped keratopathy,H18.1
430888006: Dystrophy of anterior cornea,H18.4
246965004: Tears in Descemet's membrane,H18.52
268160006: Congenital corneal opacity,H18.6
57207003: Bullous keratopathy,H18.60
65636009: Keratoconus,H18.60
43521007: Corneal deposit associated with metabolic disorder,H18.83
95726001: Corneal scar,H18.9
410692006: Anterior uveitis,H20.0
444248002: Chronic uveitis,H20.0
398155003: Chronic anterior uveitis,H20.3
128473001: Uveitis,H20.9
111512005: Posterior synechiae,H21.3
39302008: Fundus coloboma,H21.3
23798003: Translucency of iris,H21.3
26098002: Microcornea,H21.51
248513002: Iris - Lisch nodules,H21.8
160346003: FH: Eye disorder,H21.9
300849006: Mass of eye structure,H22.9
95722004: Bilateral cataracts,H25.0
193576003: Cortical cataract,H25.1
193570009: Cataract,H26
34361001: Traumatic cataract,H26.0
346721000119108: Bilateral congenital cataract of eyes,H26.0
204138006: Congenital blue dot cataract,H26.6
247052002: Cataract finding,H26.9
24010005: Aphakia,H27.0
65814009: Subluxation of lens,H27.01
416671000: Microspherophakia,H27.6
15633201000119106: Detachment of retina of left eye,H33.42
42059000: Retinal detachment,H33.9
163978001: O/E - optic disc elevated,H35.0
343761000119108: Bilateral retinopathy of prematurity of eyes stage 2 - intraretinal ridge,H35.1
408847006: Retinopathy of prematurity stage 1 - demarcation line,H35.1
408848001: Retinopathy of prematurity stage 2 - intraretinal ridge,H35.1
255022003: Hemangioma of choroid,H35.1
408849009: Retinopathy of prematurity stage 3 - ridge with extraretinal fibrovascular proliferation,H35.1
429449002: Congenital hypoplasia of fovea centralis,H35.20
312999006: Disorder of macula of retina,H35.3
314407005: Retinal dystrophy,H35.50
57838006: Retinitis pigmentosa-deafness syndrome,H35.52
68222009: Pigmentary retinal dystrophy,H35.52
80328002: Progressive cone-rod dystrophy,H35.52
33629003: Drusen of optic disc,H35.54
28998008: Retinal hemorrhage,H35.7
40024006: Retinal defect,H35.8
399858007: Retina finding,H35.89
53854005: Chorioretinal scar,H35.89
247122008: Retinal vascular anomaly,H35.89
29555009: Retinal disorder,H35.9
11603001: Sickle cell retinopathy,H36.89
23986001: Glaucoma,H40
71111008: Glaucoma of childhood,H40.0
232079008: Glaucoma suspect,H40.00
15747001000119102: Elevated left intraocular pressure,H40.10
4229009: Phthisis bulbi,H44.5
66485003: Retinal scar,H44.7
73221001: Optic papillitis,H46.0
95499004: Hypoplasia of the optic nerve,H46.20
17541006: Coloboma of optic disc,H46.40
77157004: Disorder of optic nerve,H46.9
423341008: Optic disc edema,H47.01
247201009: Optic disc finding,H47.01
15930381000119104: Edema of optic disc of bilateral eyes,H47.011
163977006: O/E - optic disc flat,H47.011
302200001: Pallor of optic disc,H47.021
722990003: Congenital atrophy of optic nerve,H47.10
95774001: Atrophy of optic disc,H47.12
111527005: Partial optic atrophy,H47.2
76976005: Optic atrophy,H47.9
22066006: Strabismus,H49
232093001: Congenital esotropia,H49.0
39837002: Alternating esotropia,H49.0
398760006: Abducens nerve palsy,H49.0
27590007: Intermittent esotropia,H49.0
5725006: Monocular exotropia,H49.0
314786000: Congenital exotropia,H49.00
348691000119103: Hypertropia of left eye,H49.01
40608009: Hypertropia,H49.01
415808001: V-pattern strabismus,H49.01
232105000: Consecutive exotropia,H49.03
400943007: Unilateral superior oblique palsy,H49.2
194101008: Intermittent monocular esotropia,H49.31
271710002: Partially accommodative esotropia,H49.4
60318001: Duane's syndrome,H49.4
20610004: Fourth nerve palsy,H49.40
25792000: Kearns-Sayre syndrome,H49.8
313157004: Pseudostrabismus,H49.8
422701008: Glaucoma drainage tube in good position,H49.891
103252009: Abnormal ocular motility,H49.9
16596007: Esotropia,H50.0
410503002: Acquired esotropia,H50.0
5455000: Monocular esotropia,H50.00
15747281000119104: Pseudoesotropia of bilateral eyes,H50.00
194102001: Intermittent alternating esotropia,H50.01
419494007: Accommodative esotropia,H50.03
111528000: Alternating esotropia with A pattern,H50.1
399054005: Exotropia,H50.1
194103006: Intermittent monocular exotropia,H50.11
57805002: Alternating exotropia with V pattern,H50.12
63988001: Intermittent exotropia,H50.121
15631491000119100: Intermittent exotropia of left eye,H50.14
194104000: Intermittent alternating exotropia,H50.21
29491004: Hypotropia,H50.25
400937005: Sensory exotropia,H50.5
427333007: V-pattern esotropia,H50.54
232108003: Dissociated vertical deviation,H50.7
24566000: Alternating esotropia with V pattern,H50.832
194131002: Convergence insufficiency,H51.12
193662007: Oculomotor apraxia,H51.21
246749005: Incomitant hypertropia,H51.3
246780000: Irregular eye movements,H51.9
90310002: Deficiency of saccadic eye movements,H51.9
55891002: Problem of visual accommodation,H52.0
38101003: Hypermetropia,H52.00
30069002: Ciliary muscle spasm,H52.1
57190000: Myopia,H52.1
46343005: Exophoria,H52.1
449724005: Myopic astigmatism,H52.10
34187009: Severe myopia,H52.11
408757002: Axial myopia,H52.11
421202000: With-the-rule astigmatism,H52.11
449726007: Oblique astigmatism,H52.2
449734001: Hyperopic astigmatism,H52.2
82649003: Astigmatism,H52.2
421489005: Against-the-rule astigmatism,H52.21
232129007: Axial hypermetropia,H52.3
3289004: Anisometropia,H52.3
232140004: Accommodative insufficiency,H52.4
404686001: Slowed saccades,H52.52
39021009: Disorder of refraction,H52.9
54552008: Disorder of accommodation,H52.9
83275001: Binocular vision disorder,H53
34241000119104: Ocular torticollis,H53.0
35600002: Strabismic amblyopia,H53.00
387742006: Amblyopia,H53.00
90927000: Refractive amblyopia,H53.00
390933006: H/O: amblyopia,H53.00
193638002: Stimulus deprivation amblyopia,H53.01
342061000119102: Amblyopia of left eye,H53.01
232147001: Anisometropic amblyopia,H53.02
446617001: Visual distortion of perception of shape,H53.1
12241871000119100: Red right eye,H53.12
24982008: Diplopia,H53.2
50446000: Monocular diplopia,H53.20
12184005: Visual field defect,H53.4
30483005: Tobacco amblyopia,H53.40
367469000: Color vision deficiency,H53.5
65194006: Night blindness,H53.60
103264001: Rolling of eyes,H53.8
409668002: Photophobia,H53.8
413924001: Cortical visual impairment,H53.8
111516008: Blurring of visual image,H53.8
225581002: Sight deteriorating,H53.8
131182003: Visual alteration,H53.9
63102001: Visual disturbance,H53.9
7973008: Abnormal vision,H53.9
285767006: Delayed visual maturation,H530
170728008: Poor visual acuity,H54.0
193699007: Blindness - both eyes,H54.0
193731001: Legal blindness USA,H54.0
267727004: Blind or low vision - both eyes,H54.0
39139002: Central blindness,H54.0
397540003: Visual impairment,H54.0
4305: Blind,H54.0
4866: Congenital blindness,H54.0
65956007: Legal blindness,H54.0
275119001: FH: Low vision,H54.0
70556002: Impairment level: low vision of both eyes,H54.0
218951000119100: Bilateral visual impairment,H54.4
"193722001: Low vision, both eyes",H54.60
406135009: Sensory disability,H54.7
314935002: Acquired nystagmus,H55.0
64635004: Congenital nystagmus,H55.0
81756001: Horizontal nystagmus,H55.0
307699005: Nystagmus present,H55.0
68610001: Latent nystagmus,H55.01
111533001: Vertical nystagmus,H55.1
285765003: Manifest-latent nystagmus,H55.3
246758003: Mixed nystagmus,H55.4
45339001: Visual deprivation nystagmus,H55.4
307681002: Abnormal spontaneous eye movements,H55.89
563001: Nystagmus,H55.9
699377006: Twitching eye,H55.9
89091004: Edema of eyelid,H57.0
271730003: Horner's syndrome pupil,H57.02
13045009: Anisocoria,H57.1
41652007: Pain in eye,H57.1
164050008: O/E - twitching eyes,H57.9
308923001: Eye symptom,H57.9
312699008: Dislocated intraocular lens,H59.09
19161004: Corneal neovascularization,H59.8
30250000: Acute otitis externa,H60.00
53295002: Chronic otitis externa,H60.1
700220003: Acute bacterial otitis externa,H60.1
1084261000119109: Otitis externa of bilateral ears,H60.3
129127001: Infection of ear,H60.9
280221000009107: Bacterial otitis externa,H60.9
3135009: Otitis externa,H60.9
827089004: Waxy discharge from ear,H61.01
301061006: Stenosis of external auditory canal,H61.1
16673001: Acquired stenosis of external ear canal secondary to trauma,H61.19
1088371000119101: Impacted cerumen in left ear,H61.2
126946000: Excessive cerumen in ear canal,H61.2
18070006: Impacted cerumen,H61.2
300125005: Small ear canal,H61.2
1083241000119108: Impacted cerumen of bilateral ears,H61.22
1090981000119103: Impacted cerumen in right ear,H61.23
271739002: Wax in ear canal,H61.23
300127002: Narrowing of ear canal,H61.23
4896: Auditory system (ear) disorder,H65
14852000: Myringitis,H65.0
194240006: Acute serous otitis media,H65.0
21186006: Chronic otitis media,H65.0
3110003: Acute otitis media,H65.00
194289001: Acute right otitis media,H65.001
194288009: Acute left otitis media,H65.02
1084271000119103: Otitis media of bilateral ears,H65.03
194290005: Acute bilateral otitis media,H65.03
699392007: Itching of ear,H65.1
359609001: Acute secretory otitis media,H65.10
1092001000119106: Otorrhea of right ear,H65.11
1089341000119100: Otitis media of left ear,H65.113
1091131000119107: Chronic otitis media of right ear,H65.12
1089391000119108: Otorrhea of left ear,H65.13
194287004: Recurrent acute otitis media,H65.2
48145001: Obstruction of Eustachian tube,H65.2
69494008: Eustachian tube disorder,H65.2
80327007: Serous otitis media,H65.2
7699004: Adhesive middle ear disease,H65.2
194248004: Bilateral chronic serous otitis,H65.20
194249007: Unilateral chronic serous otitis,H65.211
1083391000119105: Chronic otitis media of bilateral ears,H65.23
277166003: Dried blood in external ear canal,H65.30
232252000: Recurrent acute non-suppurative otitis media,H65.8
6965008: Subacute nonsuppurative otitis media,H65.8
232254004: Chronic non-suppurative otitis media,H65.9
86359006: Subacute transudative otitis media,H65.9
65363002: Otitis media,H65.90
1084291000119102: Chronic mucoid otitis media of bilateral ears,H65.91
194281003: Acute suppurative otitis media,H66.0
297009: Acute myringitis,H66.0
232251007: Recurrent acute suppurative otitis media,H66.00
1082561000119104: Recurrent acute suppurative otitis media with spontaneous rupture of ear drum,H66.01
86279000: Acute suppurative otitis media with spontaneous rupture of ear drum,H66.03
435141000124102: Recurrent acute suppurative otitis media of right ear,H66.11
78868004: Chronic mucoid otitis media,H66.3
38394007: Chronic purulent otitis media,H66.9
89723004: Chronic tympanitis,H66.9
111536009: Hematotympanum,H66.9
30280005: Patulous eustachian tube,H69.9
232260004: Mastoid cholesteatoma,H70.0
1084321000119105: Otorrhea of bilateral ears,H70.00
386034005: Acute mastoiditis,H70.01
271741001: Blood in ear canal,H70.90
363668000: Cholesteatoma,H71.9
194339007: Cholesteatoma of middle ear and mastoid,H72.0
39911004: Cholesteatoma of middle ear / mastoid,H72.0
87688009: Cholesteatoma of middle ear,H72.0
194318000: Tympanic membrane perforation - less than 50%,H72.1
1089431000119103: Perforation of left tympanic membrane,H72.11
232258001: Tympanic atelectasis,H72.8
232246001: Polyp of tympanic membrane,H72.9
1092041000119108: Perforation of right tympanic membrane,H72.90
247263009: Thickened tympanic membrane,H72.90
39895008: Marginal perforation of tympanic membrane,H72.90
60442001: Perforation of tympanic membrane,H72.90
71177003: Retraction of tympanic membrane,H72.90
48523008: Healed perforation of ear drum,H72.91
194335001: Partial loss / necrosis of ossicles,H74.0
23606001: Tympanosclerosis,H74.01
80645004: Chronic mastoiditis,H74.01
28371001: Cholesterin granuloma of middle ear,H74.8
65668001: Otorrhea,H74.8
68996008: Disorder of middle ear,H74.9
247261006: Fluid level behind tympanic membrane,H74.9
71305001: Benign paroxysmal vertigo of childhood,H81.1
232303002: Dilatation of the vestibular aqueduct,H81.11
103293001: Visually-induced vertigo,H81.13
361270009: Episodic recurrent vertigo,H81.13
